,train_accuracy,train_loss,val_acc,val_loss
0,4.341085271317829,0.8309808683025744,4.341085271317829,0.7657119962904189
1,11.472868217054263,0.737262839309929,11.472868217054263,0.6910308091728775
2,19.224806201550386,0.6597831740859867,19.224806201550386,0.5948085034335101
3,28.527131782945737,0.5838539230731107,28.527131782945737,0.5490525265534719
4,31.93798449612403,0.528879359341407,31.93798449612403,0.525167539163872
5,36.12403100775194,0.49472885556923324,36.12403100775194,0.461031307776769
6,41.70542635658914,0.4528955520585526,41.70542635658914,0.42979430379690947
7,44.34108527131783,0.41655664370041484,44.34108527131783,0.4013016665423358
8,45.73643410852713,0.397844497177952,45.73643410852713,0.38327914228041965
9,49.457364341085274,0.3720978763676429,49.457364341085274,0.36965293409647765
10,53.48837209302326,0.3489775636399439,53.48837209302326,0.3772212846411599
11,50.85271317829457,0.34127686245496885,50.85271317829457,0.36386802406222735
12,53.48837209302326,0.31977411607901257,53.48837209302326,0.34196969701184166
13,55.65891472868217,0.3054888280787209,55.65891472868217,0.33236219320032334
14,58.604651162790695,0.28105094645374507,58.604651162790695,0.30361251808978895
15,59.53488372093023,0.28292148487512453,59.53488372093023,0.30111716908437236
16,61.70542635658914,0.27691814656867536,61.70542635658914,0.3034026214370021
17,62.7906976744186,0.26016901347988336,62.7906976744186,0.29735683732562596
18,63.72093023255814,0.25247237081675566,63.72093023255814,0.2783148630901619
19,67.13178294573643,0.23015658596689387,67.13178294573643,0.27545357523141084
20,66.51162790697674,0.23354357046674387,66.51162790697674,0.2665438133257407
21,65.89147286821705,0.22380837553231292,65.89147286821705,0.24919020081007923
22,68.37209302325581,0.21436707606149275,68.37209302325581,0.293456228794875
23,67.75193798449612,0.21428914449300415,67.75193798449612,0.2662891803516282
24,71.0077519379845,0.20568305780721266,71.0077519379845,0.27394472324737795
25,73.17829457364341,0.19746337179527726,73.17829457364341,0.28134143711240206
26,76.43410852713178,0.17514264681773592,76.43410852713178,0.26592523963363085
27,74.88372093023256,0.18773856198833894,74.88372093023256,0.2447122531356635
28,76.27906976744185,0.1715905536399331,76.27906976744185,0.2616706799577784
29,71.31782945736434,0.18797484654788824,71.31782945736434,0.26875205862301366
30,77.05426356589147,0.1562650139479674,77.05426356589147,0.2621547262425776
31,73.33333333333333,0.16915268306584322,73.33333333333333,0.25186258609648104
32,75.96899224806201,0.1697663279351338,75.96899224806201,0.22956524789333344
33,77.05426356589147,0.15783671134895133,77.05426356589147,0.26912649858880927
34,77.36434108527132,0.1460394732711851,77.36434108527132,0.23420303804730927
35,77.67441860465117,0.15499474594528362,77.67441860465117,0.29145786359354303
36,79.68992248062015,0.1445212624678316,79.68992248062015,0.26290273086892235
37,76.89922480620154,0.1431879262562639,76.89922480620154,0.24969756368685653
38,80.31007751937985,0.136153197923834,80.31007751937985,0.2611811047902814
39,83.25581395348837,0.12538921753334445,83.25581395348837,0.29550789393208643
40,80.93023255813954,0.1267652050758055,80.93023255813954,0.2463950925955066
41,82.01550387596899,0.13274504199277523,82.01550387596899,0.26613791852637575
42,82.01550387596899,0.12793450911146725,82.01550387596899,0.25217386583487195
43,80.7751937984496,0.12736748138139414,80.7751937984496,0.2561255986629813
44,80.93023255813954,0.1325063262596842,80.93023255813954,0.26664625315202606
45,80.46511627906976,0.12731158671857312,80.46511627906976,0.2589951080304605
46,84.18604651162791,0.11843210837926514,84.18604651162791,0.2575945118787112
47,81.70542635658914,0.1305326109131177,81.70542635658914,0.2605598292279023
48,80.7751937984496,0.1285484585304593,80.7751937984496,0.28596771398076304
49,85.27131782945736,0.1153346611201301,85.27131782945736,0.2573004642294513
50,84.96124031007751,0.10780605009302151,84.96124031007751,0.251462228078809
51,80.15503875968992,0.12711813124113305,80.15503875968992,0.2777596872161936
52,84.18604651162791,0.11249242031643557,84.18604651162791,0.21174854867988163
53,82.17054263565892,0.1179289440458366,82.17054263565892,0.25359030026528573
54,85.27131782945736,0.10671538623959519,85.27131782945736,0.2620211536306198
55,85.27131782945736,0.10600139405361789,85.27131782945736,0.24962510620416314
56,83.10077519379846,0.11984228149865024,83.10077519379846,0.2856319634657767
